gene	chrom	start	end	strand	n_introns	K	n_chain_reads	primary_at_gene	primary_frac	n_secondary	n_sib_chain_match	n_seq_favors_sibling	nm_rate_gene	nm_rate_primary	dom_sibling	dom_sibling_n	klass
gene-LOC101149126	NC_073242.2	68771162	68806675	+	24	8	13	4	0.308	9	0	9	0.0025	0.001	NC_073242.2:intergenic	8	primary_sufficient
gene-LOC129530054-2	NC_073248.2	8318446	8330267	+	4	2	13	6	0.462	7	7	7	0.0032	0.0019	gene-LOC129530054	7	primary_sufficient
gene-LOC115933107	NC_073238.2	30281071	30343993	+	19	7	13	12	0.923	1	0	1	0.5858	0.0136	NC_073240.2:intergenic	1	primary_sufficient
gene-LOC129530054	NC_073247.2	11012351	11023773	+	4	2	13	7	0.538	6	6	6	0.0085	0.0057	gene-LOC129530054-2	6	primary_sufficient
gene-CCDC30	NC_073224.2	197287005	197480288	-	30	8	12	12	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101142420	NC_073237.2	27491243	27563416	-	14	5	12	12	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101124648	NC_073224.2	25298100	25351306	+	23	8	12	8	0.667	4	1	4	0.0269	0.0098	NC_073224.2:intergenic	3	primary_sufficient
gene-TNK2	NC_086017.1	207437720	207533765	-	33	8	12	12	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CD163L1	NC_073234.2	23001566	23093379	-	28	8	12	12	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129525008	NC_073232.2	69477523	69530984	+	22	8	12	8	0.667	4	0	4	0.0123	0.0042	gene-AGAP6	2	primary_sufficient
gene-ZNF519	NC_073241.2	36126154	36186450	+	8	3	12	12	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115930131	NC_073230.2	76459118	76469652	-	6	2	12	7	0.583	5	0	5	0.0193	0.0134	NC_073230.2:intergenic	4	primary_sufficient
gene-LOC129528444	NC_073241.2	23457142	23495760	-	8	3	12	2	0.167	10	3	10	0.0113	0.0043	NC_073241.2:intergenic	4	secondary_dependent_identifiable
gene-FRMD5	NC_073240.2	44681594	45012411	-	19	7	12	12	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129524644	NC_073237.2	84132614	84166319	-	6	2	12	9	0.75	3	0	3	0.0136	0.0043	gene-LOC101152072	2	primary_sufficient
gene-LOC101146782	NC_073232.2	65534574	65603484	+	22	8	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-JMY	NC_073243.2	32360426	32449134	-	11	4	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-EPHA5	NC_073227.2	60752997	61104332	+	21	7	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932796	NC_073230.2	86181805	86208648	+	13	5	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FMO4	NC_073224.2	85415870	85444044	-	9	3	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129528916	NC_073244.2	21160707	21214510	-	4	2	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129530497	NC_073246.2	4624959	4663639	+	10	4	11	0	0.0	11	4	11	0.0162	0.0047	gene-LOC129526379	8	secondary_dependent_identifiable
gene-LOC134757776	NC_073224.2	19192407	19222168	+	55	8	11	0	0.0	11	3	11	0.0238	0.0031	NC_073240.2:intergenic	3	secondary_dependent_identifiable
gene-LOC101152383	NC_073240.2	22298308	22403273	+	40	8	11	4	0.364	7	7	7	0.0131	0.0008	gene-LOC115933107	6	primary_sufficient
gene-LOC129527637	NC_073242.2	35370576	35544549	-	23	8	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932641	NC_073244.2	21221120	21269892	+	9	3	11	3	0.273	8	7	8	0.003	0.0022	gene-LOC134757470	8	primary_sufficient
gene-LOC101134240	NC_086018.1	18247702	18250319	+	11	4	11	4	0.364	7	5	7	0.0142	0.0	gene-TMEM191C	5	primary_sufficient
gene-PDZD2	NC_073243.2	77246480	77718992	+	29	8	11	11	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LPA	NC_073229.2	184704904	184982484	-	66	8	11	10	0.909	1	1	0	0.0963	0.2792	gene-LPA	1	primary_sufficient
gene-LOC129524653	NC_073237.2	12315687	12368021	-	11	4	11	0	0.0	11	4	11	0.0134	0.0088	gene-LOC129526379	6	secondary_dependent_identifiable
gene-LOC129534707	NC_073224.2	15915330	15945535	-	56	8	11	1	0.091	10	4	10	0.0116	0.0033	gene-LOC129529262	2	secondary_dependent_identifiable
gene-PCDH11X	NC_073247.2	103539784	104380205	+	10	4	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PLCZ1	NC_073234.2	34058646	34113429	-	23	8	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-RHD	NC_073224.2	214487744	214554934	+	16	6	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FRAS1	NC_073227.2	98330770	98815175	+	75	8	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-DGKI	NC_073230.2	146487343	146957954	-	38	8	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CORIN	NC_073227.2	55606356	55851296	-	28	8	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-CPEB3	NC_073232.2	104388284	104632099	-	19	7	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129529254	NC_073224.2	15570572	15622214	+	39	8	10	2	0.2	8	1	7	0.028	0.0095	NC_073224.2:intergenic	6	secondary_dependent_identifiable
gene-LOC101143448	NC_073240.2	21941383	22022227	-	14	5	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129533423	NC_073228.2	182504333	182511974	+	3	2	10	5	0.5	5	0	5	0.0148	0.0061	gene-LOC115933006	3	primary_sufficient
gene-TYRP1	NC_073237.2	51731953	52941324	-	18	6	10	10	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129532190	NC_073224.2	12380785	12425107	+	19	7	10	6	0.6	4	3	3	0.0247	0.0034	gene-LOC101124648	2	primary_sufficient
gene-LOC134757470	NC_073242.2	29159393	29199709	+	8	3	10	7	0.7	3	2	3	0.0134	0.0016	gene-LOC115932641	2	primary_sufficient
gene-LOC129530544	NC_073236.2	653637	697271	-	12	4	10	0	0.0	10	1	10	0.0229	0.0073	NC_073238.2:intergenic	9	secondary_dependent_identifiable
gene-LOC115933525	NC_073238.2	33583761	33636586	+	9	3	10	7	0.7	3	0	3	0.1207	0.005	gene-LOC134757227	2	primary_sufficient
gene-LOC115936258	NC_073224.2	101586860	101590297	-	8	3	10	3	0.3	7	7	6	0.0265	0.0015	gene-LOC101151730	7	primary_sufficient
gene-BICC1	NC_073232.2	56922054	57240415	-	25	8	9	9	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129528378	NC_073241.2	109688302	109728774	-	6	2	9	4	0.444	5	0	5	0.2695	0.0303	NC_073230.2:intergenic	5	primary_sufficient
gene-LOC129526199	NC_073238.2	25822956	25835721	+	3	2	9	0	0.0	9	0	9	0.0152	0.0078	NC_073238.2:intergenic	9	secondary_dependent_identifiable
gene-LOC101147502	NC_073242.2	99326159	99382147	-	16	6	9	4	0.444	5	4	5	0.0427	0.0052	gene-LOC115930163	3	primary_sufficient
gene-NPAP1	NC_073240.2	25708195	25916177	+	34	8	9	9	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101137311	NC_073240.2	22623331	22670541	-	7	3	9	9	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-PKHD1L1	NC_073231.2	115179197	115350741	+	77	8	9	9	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932795	NC_073230.2	51854843	51866317	-	7	3	9	3	0.333	6	5	6	0.0255	0.0044	gene-LOC101146405	4	primary_sufficient
gene-PALS2	NC_073230.2	32012334	32132746	+	21	7	8	8	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC115932634	NC_073232.2	91788349	91830130	+	16	6	8	7	0.875	1	0	1	0.0052	0.0012	gene-PPIF	1	primary_sufficient
gene-CLEC2D	NC_073234.2	25075360	25113246	+	7	3	8	8	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101134651	NC_073236.2	32395806	32448675	-	15	5	8	0	0.0	8	1	8	0.0144	0.0037	NC_073236.2:intergenic	3	secondary_dependent_identifiable
gene-TPTE2	NC_073238.2	33719556	33870537	-	28	8	8	6	0.75	2	0	2	0.0087	0.0073	NC_073240.2:intergenic	2	primary_sufficient
gene-LOC129523817	NC_073230.2	168315374	168479010	+	5	2	8	2	0.25	6	0	6	0.1235	0.0053	NC_073227.2:intergenic	3	secondary_dependent_identifiable
gene-LOC134758023	NC_086017.1	9415034	9786529	-	34	8	8	8	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134757815	NC_073224.2	19303128	19331056	+	53	8	8	2	0.25	6	2	6	0.026	0.001	NC_073240.2:intergenic	4	secondary_dependent_identifiable
gene-LOC101148918	NC_073224.2	6616903	6772848	-	46	8	7	2	0.286	5	5	5	0.1223	0.0015	gene-LMBR1	4	primary_sufficient
gene-SIK3	NC_073233.2	124776496	125040371	-	31	8	7	7	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129524727	NC_073237.2	35205393	36131826	+	5	2	7	7	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101154316	NC_073229.2	85749089	86185209	-	11	4	7	6	0.857	1	0	1	0.0081	0.0024	NC_073229.2:intergenic	1	primary_sufficient
gene-LOC115931714	NC_073224.2	36041531	36075344	-	10	4	6	0	0.0	6	2	6	0.0263	0.0049	NC_073224.2:intergenic	4	secondary_dependent_identifiable
gene-ADGB	NC_073229.2	170753536	170961593	+	35	8	6	6	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129531447	NC_073240.2	17265765	17278577	-	4	2	6	0	0.0	6	0	6	0.0206	0.0095	NC_073238.2:intergenic	6	secondary_dependent_identifiable
gene-LOC129528455	NC_073241.2	28400522	28453253	+	12	4	6	0	0.0	6	1	6	0.0139	0.0013	NC_073241.2:intergenic	2	secondary_dependent_identifiable
gene-LOC129523572	NC_073240.2	20864257	20944327	+	20	7	6	2	0.333	4	1	4	0.0042	0.0005	NC_073238.2:intergenic	3	primary_sufficient
gene-LOC129530565	NC_073246.2	5739117	5778416	+	8	3	6	0	0.0	6	2	6	0.0151	0.007	gene-LOC129526379	3	secondary_dependent_identifiable
gene-LOC115933411	NC_086018.1	2067211	2112645	+	6	2	6	5	0.833	1	0	1	0.0197	0.0156	NC_073246.2:intergenic	1	primary_sufficient
gene-LOC129529681	NC_073247.2	152890632	153307687	+	9	3	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-UBC	NC_073234.2	140369418	140373053	-	4	2	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC134756802	NC_073236.2	101310639	101358924	+	4	2	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129529528	NC_086018.1	40100253	40136074	+	11	4	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC101127631	NC_073244.2	48660619	48689258	-	16	6	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-IL7	NC_073231.2	41556220	41629947	+	6	2	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-FCRL3	NC_073224.2	99084426	99147926	+	18	6	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129524658	NC_073237.2	13233265	13273401	-	8	3	5	0	0.0	5	1	5	0.012	0.0088	NC_073241.2:intergenic	2	secondary_dependent_identifiable
gene-LOC101125311	NC_073228.2	81620895	81625244	+	2	2	5	0	0.0	5	0	5	0.0127	0.0025	NC_073228.2:intergenic	5	secondary_dependent_identifiable
gene-LOC129524470	NC_073237.2	16816857	16878395	+	14	5	5	0	0.0	5	0	5	0.02	0.0061	NC_073238.2:intergenic	5	secondary_dependent_identifiable
gene-LOC129525023	NC_073232.2	8357389	8424886	-	9	3	5	2	0.4	3	2	3	0.0195	0.0024	gene-SLC35F5	1	primary_sufficient
gene-LOC134756444	NC_073243.2	111391995	111472386	+	25	8	5	3	0.6	2	0	1	0.112	0.1622	gene-LOC115931263	2	primary_sufficient
gene-LOC129530313	NC_073248.2	33731650	33779310	+	3	2	5	5	1.0	0	0	0	None	None	None	0	primary_sufficient
gene-LOC129534752	NC_073230.2	86178344	86182622	-	3	2	5	3	0.6	2	1	2	0.0313	0.0035	NC_073230.2:intergenic	1	primary_sufficient
gene-LOC129531996	NC_073235.2	15102555	15109419	-	5	2	5	1	0.2	4	1	4	0.0408	0.0032	NC_073247.2:intergenic	1	secondary_dependent_identifiable
